Hour,Region,GridPurchase_MW,GridSell_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW,Curtailment_MW,Discharge_MW,SOC_MWh,ElectricityPrice,SellPrice,CarbonIntensity,AvailableRenewable_MW,NetGridImport_MW
20,RegionA,-0.0,0.0,330.884999550045,-0.0,0.0,209.30500044995506,0.0,35.0,1056.56,0.0,0.6455,540.19,-0.0
21,RegionA,-0.0,0.0,376.12350000000004,0.0,0.0,134.0965,0.0,35.0,1057.08,0.0,0.658,510.22,-0.0
22,RegionA,-0.0,0.0,388.00349955004503,0.0,0.0,111.99650044995497,0.0,35.0,656.43,0.0,0.6687,500.0,-0.0
23,RegionA,-0.0,0.0,408.92849955004505,-0.0,0.0,101.29150044995498,0.0,35.0,656.73,0.0,0.6771,510.22,-0.0
24,RegionA,-0.0,0.0,478.15650044995505,0.0,0.0,62.03349955004501,0.0,35.0,474.52,0.0,0.6825,540.19,-0.0
25,RegionA,-0.0,0.0,495.679499550045,0.0,0.0,92.19050044995498,0.0,35.0,474.72,0.0,0.6846,587.87,-0.0
26,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,105.67999955004495,0.0,35.0,474.91,0.0,0.6833,650.0,-0.0
27,RegionA,-0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,35.0,475.1,0.0,0.6787,722.35,-0.0
28,RegionA,-0.0,0.0,544.32,0.0,0.0,255.67999999999995,0.0,35.0,475.28,0.0,0.6712,800.0,-0.0
29,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,333.3300004499549,0.0,35.0,475.45,0.0,0.6612,877.65,-0.0
30,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,35.0,475.61,0.0,0.6496,950.0,-0.0
31,RegionA,-0.0,0.0,544.3199995500449,-0.0,0.0,467.81000044995506,0.0,35.0,731.94,0.0,0.637,1012.13,-0.0
32,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,515.4899995500449,0.0,35.0,732.16,0.0,0.6245,1059.81,-0.0
33,RegionA,-0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,35.0,732.37,0.0,0.6128,1089.78,-0.0
34,RegionA,-0.0,0.0,535.612499550045,-0.0,0.0,564.387500449955,0.0,35.0,732.56,0.0,0.6027,1100.0,-0.0
35,RegionA,-0.0,0.0,516.429000449955,-0.0,0.0,573.350999550045,0.0,35.0,732.74,0.0,0.595,1089.78,-0.0
36,RegionA,-0.0,0.0,464.1975,-0.0,0.0,595.6125,0.0,35.0,732.9,0.0,0.5902,1059.81,-0.0
37,RegionA,-0.0,0.0,439.10100044995505,-0.0,0.0,573.028999550045,0.0,35.0,733.05,0.0,0.5887,1012.13,-0.0
38,RegionA,-0.0,0.0,422.42040000000003,-0.0,0.0,527.5796,0.0,35.0,733.18,0.0,0.5905,950.0,-0.0
39,RegionA,-0.0,0.0,401.130900449955,-0.0,0.0,476.519099550045,0.0,35.0,733.3,0.0,0.5955,877.65,-0.0
40,RegionA,-0.0,0.0,375.205499550045,-0.0,0.0,424.794500449955,0.0,35.0,733.4,0.0,0.6035,800.0,-0.0
41,RegionA,-0.0,0.0,328.900500449955,-0.0,0.0,393.449499550045,0.0,35.0,1063.56,0.0,0.6138,722.35,-0.0
42,RegionA,-0.0,0.0,289.99350044995504,-0.0,0.0,360.00649955004496,0.0,35.0,1063.67,0.0,0.6258,650.0,-0.0
43,RegionA,-0.0,0.0,297.324,0.0,0.0,290.546,0.0,35.0,1063.75,0.0,0.6386,587.87,-0.0
44,RegionA,-0.0,0.0,346.34250000000003,0.0,0.0,193.84750000000003,0.0,35.0,1063.82,0.0,0.6514,540.19,-0.0
45,RegionA,-0.0,0.0,327.847500449955,-0.0,0.0,182.372499550045,0.0,35.0,1063.86,0.0,0.6633,510.22,-0.0
46,RegionA,-0.0,0.0,416.92049955004507,0.0,0.0,83.07950044995493,0.0,35.0,660.34,0.0,0.6735,500.0,-0.0
47,RegionA,-0.0,0.0,442.7460000000001,-0.0,0.0,67.47399999999993,0.0,35.0,660.33,0.0,0.6812,510.22,-0.0
48,RegionA,-0.0,0.0,472.041000449955,-0.0,0.0,68.14899955004506,0.0,35.0,476.9,0.0,0.686,540.19,-0.0
49,RegionA,-0.0,0.0,530.401500449955,-0.0,0.0,57.46849955004495,0.0,35.0,476.88,0.0,0.6876,587.87,-0.0
50,RegionA,-0.0,0.0,544.32,-0.0,0.0,105.67999999999995,0.0,35.0,476.85,0.0,0.6857,650.0,-0.0
51,RegionA,-0.0,0.0,544.32,-0.0,0.0,178.02999999999997,0.0,35.0,476.81,0.0,0.6805,722.35,-0.0
52,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,255.67999955004495,0.0,35.0,476.76,0.0,0.6724,800.0,-0.0
53,RegionA,-0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,35.0,476.7,0.0,0.6618,877.65,-0.0
54,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,405.68000044995495,0.0,35.0,476.63,0.0,0.6496,950.0,-0.0
55,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,467.80999955004495,0.0,35.0,733.16,0.0,0.6364,1012.13,-0.0
56,RegionA,-0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,35.0,733.03,0.0,0.6233,1059.81,-0.0
57,RegionA,-0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,35.0,732.89,0.0,0.6109,1089.78,-0.0
58,RegionA,-0.0,0.0,544.32,-0.0,0.0,555.68,0.0,35.0,732.74,0.0,0.6003,1100.0,-0.0
59,RegionA,-0.0,0.0,487.7550004499551,-0.0,0.0,602.0249995500449,0.0,35.0,732.57,0.0,0.592,1089.78,-0.0
60,RegionA,-0.0,0.0,469.25999955004505,0.0,0.0,590.550000449955,0.0,35.0,732.39,0.0,0.5866,1059.81,-0.0
61,RegionA,-0.0,0.0,465.23700044995496,0.0,0.0,546.892999550045,0.0,35.0,732.19,0.0,0.5845,1012.13,-0.0
62,RegionA,-0.0,0.0,444.09735000000006,0.0,0.0,505.90264999999994,0.0,35.0,731.99,0.0,0.5857,950.0,-0.0
63,RegionA,-0.0,0.0,414.7159504499551,0.0,0.0,462.9340495500449,0.0,35.0,731.77,0.0,0.5902,877.65,-0.0
64,RegionA,-0.0,0.0,328.71420000000006,0.0,0.0,471.28579999999994,0.0,35.0,731.55,0.0,0.5976,800.0,-0.0
65,RegionA,-0.0,0.0,330.75000044995505,-0.0,0.0,391.59999955004497,0.0,35.0,1060.4,0.0,0.6073,722.35,-0.0
66,RegionA,-0.0,0.0,307.138499550045,-0.0,0.0,342.861500449955,0.0,35.0,1060.05,0.0,0.6188,650.0,-0.0
67,RegionA,-0.0,0.0,262.8315,0.0,0.0,325.0385,0.0,35.0,1059.68,0.0,0.631,587.87,-0.0
68,RegionA,-0.0,0.0,341.469000449955,-0.0,0.0,198.72099955004506,0.0,35.0,1059.29,0.0,0.6433,540.19,-0.0
69,RegionA,-0.0,0.0,339.3225,0.0,0.0,170.89750000000004,0.0,35.0,1058.9,0.0,0.6547,510.22,-0.0
70,RegionA,-0.0,0.0,359.950499550045,0.0,0.0,140.04950044995502,0.0,35.0,656.99,0.0,0.6644,500.0,-0.0
71,RegionA,-0.0,0.0,470.083500449955,0.0,0.0,40.136499550045016,0.0,35.0,656.73,0.0,0.6716,510.22,-0.0
72,RegionA,-0.0,0.0,459.00000044995505,-0.0,0.0,81.189999550045,0.0,35.0,474.12,0.0,0.676,540.19,-0.0
73,RegionA,-0.0,0.0,531.495,0.0,0.0,56.375,0.0,35.0,473.92,0.0,0.677,587.87,-0.0
74,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,105.67999955004495,0.0,35.0,473.72,0.0,0.6747,650.0,-0.0
75,RegionA,-0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,35.0,473.51,0.0,0.6691,722.35,-0.0
76,RegionA,-0.0,0.0,544.32,-0.0,0.0,255.67999999999995,0.0,35.0,473.31,0.0,0.6606,800.0,-0.0
77,RegionA,-0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,35.0,473.1,0.0,0.6496,877.65,-0.0
78,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,35.0,472.88,0.0,0.637,950.0,-0.0
79,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,467.81000044995494,0.0,35.0,727.18,0.0,0.6235,1012.13,-0.0
80,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,515.4899995500449,0.0,35.0,726.85,0.0,0.6099,1059.81,-0.0
81,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,35.0,726.51,0.0,0.5973,1089.78,-0.0
82,RegionA,-0.0,0.0,544.32,-0.0,0.0,555.68,0.0,35.0,726.18,0.0,0.5863,1100.0,-0.0
83,RegionA,-0.0,0.0,527.364,0.0,0.0,562.4159999999999,0.0,35.0,725.84,0.0,0.5777,1089.78,-0.0
84,RegionA,-0.0,0.0,499.25699955004507,0.0,0.0,560.5530004499549,0.0,35.0,725.5,0.0,0.5721,1059.81,-0.0
85,RegionA,-0.0,0.0,459.8100004499551,-0.0,0.0,552.3199995500449,0.0,35.0,725.16,0.0,0.5697,1012.13,-0.0
86,RegionA,-0.0,0.0,410.238,0.0,0.0,539.762,0.0,35.0,724.82,0.0,0.5707,950.0,-0.0
87,RegionA,-0.0,0.0,377.838,0.0,0.0,499.81199999999995,0.0,35.0,724.48,0.0,0.575,877.65,-0.0
88,RegionA,-0.0,0.0,333.35549955004507,-0.0,0.0,466.64450044995493,0.0,35.0,724.14,0.0,0.5822,800.0,-0.0
89,RegionA,-0.0,0.0,303.35850044995505,0.0,0.0,418.991499550045,0.0,35.0,1049.53,0.0,0.5917,722.35,-0.0
90,RegionA,-0.0,0.0,307.624499550045,-0.0,0.0,342.375500449955,0.0,35.0,1049.05,0.0,0.603,650.0,-0.0
91,RegionA,-0.0,0.0,301.887000449955,-0.0,0.0,285.982999550045,0.0,35.0,1048.57,0.0,0.6152,587.87,-0.0
92,RegionA,-0.0,0.0,339.2955,-0.0,0.0,200.89450000000005,0.0,35.0,1048.1,0.0,0.6274,540.19,-0.0
93,RegionA,-0.0,0.0,368.469,0.0,0.0,141.75100000000003,0.0,35.0,1047.64,0.0,0.6387,510.22,-0.0
94,RegionA,-0.0,0.0,392.7825,0.0,0.0,107.21749999999997,0.0,35.0,649.97,0.0,0.6483,500.0,-0.0
95,RegionA,-0.0,0.0,452.76300044995503,-0.0,0.0,57.456999550045,0.0,35.0,649.7,0.0,0.6555,510.22,-0.0
96,RegionA,-0.0,0.0,465.628500449955,-0.0,0.0,74.56149955004503,0.0,35.0,469.03,0.0,0.6598,540.19,-0.0
97,RegionA,-0.0,0.0,543.725999550045,0.0,0.0,44.144000449955,0.0,35.0,468.83,0.0,0.6609,587.87,-0.0
98,RegionA,-0.0,0.0,515.605499550045,0.0,0.0,134.394500449955,0.0,35.0,468.65,0.0,0.6586,650.0,-0.0
99,RegionA,-0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,35.0,468.46,0.0,0.6531,722.35,-0.0
100,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,255.68000044995495,0.0,35.0,468.28,0.0,0.6446,800.0,-0.0
101,RegionA,-0.0,0.0,544.3199995500449,0.0,0.0,333.33000044995504,0.0,35.0,468.11,0.0,0.6338,877.65,-0.0
102,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,405.67999955004495,0.0,35.0,467.95,0.0,0.6212,950.0,-0.0
103,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,467.81000044995494,0.0,35.0,719.67,0.0,0.6079,1012.13,-0.0
104,RegionA,-0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,35.0,719.43,0.0,0.5945,1059.81,-0.0
105,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,545.4600004499549,0.0,35.0,719.2,0.0,0.582,1089.78,-0.0
106,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,555.680000449955,0.0,35.0,718.99,0.0,0.5713,1100.0,-0.0
107,RegionA,-0.0,0.0,530.6175004499551,-0.0,0.0,559.1624995500449,0.0,35.0,718.78,0.0,0.5629,1089.78,-0.0
108,RegionA,-0.0,0.0,472.87800000000004,-0.0,0.0,586.9319999999999,0.0,35.0,718.59,0.0,0.5575,1059.81,-0.0
109,RegionA,-0.0,0.0,454.207500449955,-0.0,0.0,557.922499550045,0.0,35.0,718.4,0.0,0.5554,1012.13,-0.0
110,RegionA,-0.0,0.0,396.2655000000001,0.0,0.0,553.7344999999999,0.0,35.0,718.23,0.0,0.5567,950.0,-0.0
111,RegionA,-0.0,0.0,378.326699550045,-0.0,0.0,499.32330044995496,0.0,35.0,718.08,0.0,0.5613,877.65,-0.0
112,RegionA,-0.0,0.0,318.991500449955,0.0,0.0,481.008499550045,0.0,35.0,717.93,0.0,0.5688,800.0,-0.0
113,RegionA,-0.0,0.0,309.973499550045,-0.0,0.0,412.376500449955,0.0,35.0,1040.81,0.0,0.5788,722.35,-0.0
114,RegionA,-0.0,0.0,316.64249955004504,-0.0,0.0,333.35750044995496,0.0,35.0,1040.64,0.0,0.5904,650.0,-0.0
115,RegionA,-0.0,0.0,343.08900000000006,-0.0,0.0,244.78099999999995,0.0,35.0,1040.48,0.0,0.603,587.87,-0.0
116,RegionA,-0.0,0.0,293.085000449955,0.0,0.0,247.10499955004508,0.0,35.0,1040.35,0.0,0.6155,540.19,-0.0
117,RegionA,-0.0,0.0,334.395,0.0,0.0,175.82500000000005,0.0,35.0,1040.24,0.0,0.6272,510.22,-0.0
118,RegionA,-0.0,0.0,417.582,0.0,0.0,82.418,0.0,35.0,645.61,0.0,0.6373,500.0,-0.0
119,RegionA,-0.0,0.0,469.867499550045,0.0,0.0,40.352500449955016,0.0,35.0,645.56,0.0,0.645,510.22,-0.0
120,RegionA,-0.0,0.0,465.7635,-0.0,0.0,74.42650000000003,0.0,35.0,466.22,0.0,0.6498,540.19,-0.0
121,RegionA,-0.0,0.0,533.7360004499551,-0.0,0.0,54.133999550044905,0.0,35.0,466.2,0.0,0.6513,587.87,-0.0
122,RegionA,-0.0,0.0,544.3199995500449,0.0,0.0,105.68000044995506,0.0,35.0,466.2,0.0,0.6495,650.0,-0.0
123,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,178.03000044995497,0.0,35.0,466.21,0.0,0.6445,722.35,-0.0
124,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,255.67999955004495,0.0,35.0,466.22,0.0,0.6365,800.0,-0.0
125,RegionA,-0.0,0.0,544.32,-0.0,0.0,333.3299999999999,0.0,35.0,466.25,0.0,0.6262,877.65,-0.0
126,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,405.67999955004495,0.0,35.0,466.29,0.0,0.6142,950.0,-0.0
127,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,467.81000044995494,0.0,35.0,717.43,0.0,0.6014,1012.13,-0.0
128,RegionA,-0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,35.0,717.52,0.0,0.5886,1059.81,-0.0
129,RegionA,-0.0,0.0,544.32,-0.0,0.0,545.4599999999999,0.0,35.0,717.62,0.0,0.5767,1089.78,-0.0
130,RegionA,-0.0,0.0,542.538,-0.0,0.0,557.462,0.0,35.0,717.73,0.0,0.5665,1100.0,-0.0
131,RegionA,-0.0,0.0,541.579500449955,0.0,0.0,548.2004995500449,0.0,35.0,717.86,0.0,0.5588,1089.78,-0.0
132,RegionA,-0.0,0.0,488.72699955004504,-0.0,0.0,571.0830004499549,0.0,35.0,718.01,0.0,0.554,1059.81,-0.0
133,RegionA,-0.0,0.0,469.11285044995503,-0.0,0.0,543.0171495500449,0.0,35.0,718.17,0.0,0.5524,1012.13,-0.0
134,RegionA,-0.0,0.0,419.86079955004504,-0.0,0.0,530.139200449955,0.0,35.0,718.34,0.0,0.5543,950.0,-0.0
135,RegionA,-0.0,0.0,383.76450000000006,0.0,0.0,493.8854999999999,0.0,35.0,718.53,0.0,0.5595,877.65,-0.0
136,RegionA,-0.0,0.0,306.031499550045,0.0,0.0,493.968500449955,0.0,35.0,718.73,0.0,0.5676,800.0,-0.0
137,RegionA,-0.0,0.0,307.408500449955,-0.0,0.0,414.941499550045,0.0,35.0,1042.47,0.0,0.5782,722.35,-0.0
138,RegionA,-0.0,0.0,308.339999550045,-0.0,0.0,341.660000449955,0.0,35.0,1042.81,0.0,0.5904,650.0,-0.0
139,RegionA,-0.0,0.0,305.03249955004503,-0.0,0.0,282.837500449955,0.0,35.0,1043.16,0.0,0.6036,587.87,-0.0
140,RegionA,-0.0,0.0,307.340999550045,0.0,0.0,232.84900044995504,0.0,35.0,1043.53,0.0,0.6167,540.19,-0.0
141,RegionA,-0.0,0.0,368.55000044995495,0.0,0.0,141.66999955004508,0.0,35.0,1043.92,0.0,0.6291,510.22,-0.0
142,RegionA,-0.0,0.0,406.080000449955,0.0,0.0,93.91999955004502,0.0,35.0,648.21,0.0,0.6397,500.0,-0.0
143,RegionA,-0.0,0.0,442.664999550045,0.0,0.0,67.555000449955,0.0,35.0,648.47,0.0,0.648,510.22,-0.0
144,RegionA,-0.0,0.0,469.78650000000005,-0.0,0.0,70.40350000000001,0.0,35.0,468.54,0.0,0.6534,540.19,-0.0
145,RegionA,-0.0,0.0,486.97200044995503,0.0,0.0,100.89799955004497,0.0,35.0,468.75,0.0,0.6555,587.87,-0.0
146,RegionA,-0.0,0.0,544.32,-0.0,0.0,105.67999999999995,0.0,35.0,468.96,0.0,0.6543,650.0,-0.0
147,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,178.02999955004498,0.0,35.0,469.19,0.0,0.6498,722.35,-0.0
148,RegionA,-0.0,0.0,544.32,0.0,0.0,255.67999999999995,0.0,35.0,469.41,0.0,0.6424,800.0,-0.0
149,RegionA,-0.0,0.0,544.32,-0.0,0.0,333.3299999999999,0.0,35.0,469.65,0.0,0.6327,877.65,-0.0
150,RegionA,-0.0,0.0,544.3199995500449,0.0,0.0,405.68000044995506,0.0,35.0,469.89,0.0,0.6212,950.0,-0.0
151,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,467.80999955004495,0.0,35.0,723.29,0.0,0.609,1012.13,-0.0
152,RegionA,-0.0,0.0,544.32,-0.0,0.0,515.4899999999999,0.0,35.0,723.68,0.0,0.5967,1059.81,-0.0
153,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,35.0,724.08,0.0,0.5853,1089.78,-0.0
154,RegionA,-0.0,0.0,544.3200004499549,0.0,0.0,555.6799995500451,0.0,35.0,724.49,0.0,0.5756,1100.0,-0.0
155,RegionA,-0.0,0.0,506.73600000000005,-0.0,0.0,583.0439999999999,0.0,35.0,724.9,0.0,0.5684,1089.78,-0.0
156,RegionA,-0.0,0.0,431.811000449955,-0.0,0.0,627.998999550045,0.0,35.0,725.32,0.0,0.564,1059.81,-0.0
157,RegionA,-0.0,0.0,456.29189955004506,0.0,0.0,555.8381004499549,0.0,35.0,725.75,0.0,0.563,1012.13,-0.0
158,RegionA,-0.0,0.0,435.26835044995505,0.0,0.0,514.731649550045,0.0,35.0,726.18,0.0,0.5653,950.0,-0.0
159,RegionA,-0.0,0.0,392.607,-0.0,0.0,485.04299999999995,0.0,35.0,726.62,0.0,0.5709,877.65,-0.0
160,RegionA,-0.0,0.0,387.665999550045,0.0,0.0,412.334000449955,0.0,35.0,727.07,0.0,0.5794,800.0,-0.0
161,RegionA,-0.0,0.0,316.87199999999996,0.0,0.0,405.47800000000007,0.0,35.0,1054.9,0.0,0.5904,722.35,-0.0
162,RegionA,-0.0,0.0,345.26250000000005,-0.0,0.0,304.73749999999995,0.0,35.0,1055.55,0.0,0.603,650.0,-0.0
163,RegionA,-0.0,0.0,285.592499550045,-0.0,0.0,302.277500449955,0.0,35.0,1056.21,0.0,0.6165,587.87,-0.0
164,RegionA,-0.0,0.0,315.238500449955,0.0,0.0,224.95149955004507,0.0,35.0,1056.88,0.0,0.6301,540.19,-0.0
165,RegionA,-0.0,0.0,299.9025,0.0,0.0,210.31750000000005,0.0,35.0,1057.54,0.0,0.6427,510.22,-0.0
166,RegionA,-0.0,0.0,407.80799955004505,-0.0,0.0,92.19200044995495,0.0,35.0,656.82,0.0,0.6537,500.0,-0.0
167,RegionA,-0.0,0.0,447.87600000000003,0.0,0.0,62.343999999999994,0.0,35.0,657.24,0.0,0.6623,510.22,-0.0
168,RegionA,-0.0,0.0,449.64450044995505,0.0,0.0,90.54549955004501,0.0,35.0,474.97,0.0,0.6679,540.19,-0.0
169,RegionA,-0.0,0.0,530.050499550045,0.0,0.0,57.81950044995506,0.0,35.0,475.28,0.0,0.6703,587.87,-0.0
170,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,105.67999955004495,0.0,35.0,475.58,0.0,0.6693,650.0,-0.0
171,RegionA,-0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,35.0,475.88,0.0,0.665,722.35,-0.0
172,RegionA,-0.0,0.0,544.319999550045,-0.0,0.0,255.68000044995495,0.0,35.0,476.18,0.0,0.6578,800.0,-0.0
173,RegionA,-0.0,0.0,544.3200004499549,-0.0,0.0,333.32999955004504,0.0,35.0,476.47,0.0,0.6483,877.65,-0.0
174,RegionA,-0.0,0.0,544.32,-0.0,0.0,405.67999999999995,0.0,35.0,476.77,0.0,0.637,950.0,-0.0
175,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,467.80999955004495,0.0,35.0,733.94,0.0,0.6248,1012.13,-0.0
176,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,515.4900004499549,0.0,35.0,734.39,0.0,0.6126,1059.81,-0.0
177,RegionA,-0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,35.0,734.83,0.0,0.6013,1089.78,-0.0
178,RegionA,-0.0,0.0,544.3199995500449,0.0,0.0,555.6800004499551,0.0,35.0,735.27,0.0,0.5917,1100.0,-0.0
179,RegionA,-0.0,0.0,535.8825,-0.0,0.0,553.8974999999999,0.0,35.0,735.7,0.0,0.5845,1089.78,-0.0
180,RegionA,-0.0,0.0,460.66049999999996,0.0,0.0,599.1495,0.0,35.0,736.13,0.0,0.5802,1059.81,-0.0
181,RegionA,-0.0,0.0,451.23075000000006,-0.0,0.0,560.8992499999999,0.0,35.0,736.55,0.0,0.5791,1012.13,-0.0
182,RegionA,-0.0,0.0,429.42149955004504,-0.0,0.0,520.578500449955,0.0,35.0,736.96,0.0,0.5814,950.0,-0.0
183,RegionA,-0.0,0.0,403.64864955004504,0.0,0.0,474.00135044995494,0.0,35.0,737.36,0.0,0.5869,877.65,-0.0
184,RegionA,-0.0,0.0,322.083,0.0,0.0,477.917,0.0,35.0,737.76,0.0,0.5954,800.0,-0.0
185,RegionA,-0.0,0.0,313.834500449955,0.0,0.0,408.51549955004504,0.0,35.0,1070.31,0.0,0.6062,722.35,-0.0
186,RegionA,-0.0,0.0,315.076499550045,0.0,0.0,334.923500449955,0.0,35.0,1070.86,0.0,0.6188,650.0,-0.0
187,RegionA,-0.0,0.0,321.50250000000005,0.0,0.0,266.36749999999995,0.0,35.0,1071.4,0.0,0.6321,587.87,-0.0
188,RegionA,-0.0,0.0,334.17899955004503,-0.0,0.0,206.01100044995502,0.0,35.0,1071.92,0.0,0.6455,540.19,-0.0
189,RegionA,-0.0,0.0,358.910999550045,0.0,0.0,151.30900044995502,0.0,35.0,1072.42,0.0,0.658,510.22,-0.0
190,RegionA,-0.0,0.0,377.109,-0.0,0.0,122.89100000000002,0.0,35.0,665.95,0.0,0.6687,500.0,-0.0
191,RegionA,-0.0,0.0,419.930999550045,0.0,0.0,90.28900044995504,0.0,35.0,666.24,0.0,0.6771,510.22,-0.0
192,RegionA,-0.0,0.0,460.5525,-0.0,0.0,79.63750000000005,0.0,35.0,481.38,0.0,0.6825,540.19,-0.0
193,RegionA,-0.0,0.0,500.526,0.0,0.0,87.344,0.0,35.0,481.58,0.0,0.6846,587.87,-0.0
194,RegionA,-0.0,0.0,541.4715,-0.0,0.0,108.52850000000001,0.0,35.0,481.77,0.0,0.6833,650.0,-0.0
195,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,178.02999955004498,0.0,35.0,481.95,0.0,0.6787,722.35,-0.0
196,RegionA,-0.0,0.0,544.320000449955,-0.0,0.0,255.67999955004495,0.0,35.0,482.12,0.0,0.6712,800.0,-0.0
197,RegionA,-0.0,0.0,544.3199995500449,-0.0,0.0,333.33000044995504,0.0,35.0,482.28,0.0,0.6612,877.65,-0.0
198,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,405.68000044995495,0.0,35.0,482.44,0.0,0.6496,950.0,-0.0
