TaskID,TaskType,SourceRegion,AssignedRegion,ArrivalHour,StartHour,EndHour,GPU_Demand,Duration,IsMigrated
20964,AITraining,RegionB,RegionB,2380,2380,2384,112,4,0
26584,AITraining,RegionF,RegionF,2380,2380,2382,125,2,0
30207,AITraining,RegionD,RegionD,2380,2380,2382,33,2,0
36438,AITraining,RegionB,RegionB,2380,2380,2382,30,2,0
40898,AITraining,RegionA,RegionA,2380,2380,2383,122,3,0
43380,AITraining,RegionD,RegionD,2380,2380,2382,50,2,0
45172,AITraining,RegionE,RegionE,2380,2380,2383,73,3,0
45404,AITraining,RegionF,RegionE,2380,2380,2383,74,3,1
12181,AITraining,RegionC,RegionC,2381,2381,2384,68,3,0
13587,AITraining,RegionD,RegionD,2381,2381,2388,23,7,0
18720,AITraining,RegionF,RegionE,2381,2381,2382,120,1,1
20139,AITraining,RegionD,RegionD,2381,2381,2385,71,4,0
31480,AITraining,RegionD,RegionD,2381,2381,2387,84,6,0
38738,AITraining,RegionE,RegionE,2381,2381,2387,85,6,0
42499,AITraining,RegionB,RegionB,2381,2381,2388,71,7,0
46280,AITraining,RegionE,RegionE,2381,2381,2387,76,6,0
47509,AITraining,RegionF,RegionE,2381,2381,2384,71,3,1
5845,AITraining,RegionD,RegionD,2382,2382,2384,26,2,0
10704,AITraining,RegionF,RegionF,2382,2382,2384,110,2,0
31191,AITraining,RegionD,RegionD,2382,2382,2385,65,3,0
32894,AITraining,RegionF,RegionF,2382,2382,2384,70,2,0
47419,AITraining,RegionC,RegionC,2382,2382,2385,67,3,0
11304,AITraining,RegionD,RegionD,2383,2383,2385,112,2,0
12755,AITraining,RegionE,RegionE,2383,2383,2387,51,4,0
22175,AITraining,RegionE,RegionE,2383,2383,2390,112,7,0
30900,AITraining,RegionF,RegionF,2383,2383,2386,36,3,0
34377,AITraining,RegionF,RegionF,2383,2383,2384,46,1,0
34834,AITraining,RegionE,RegionE,2383,2383,2387,123,4,0
45771,AITraining,RegionF,RegionF,2383,2383,2388,77,5,0
10306,AITraining,RegionD,RegionD,2384,2384,2389,68,5,0
27109,AITraining,RegionF,RegionF,2384,2384,2389,99,5,0
34201,AITraining,RegionB,RegionB,2384,2384,2386,78,2,0
44983,AITraining,RegionF,RegionF,2384,2384,2389,80,5,0
46582,AITraining,RegionE,RegionE,2384,2384,2386,33,2,0
49968,AITraining,RegionE,RegionE,2384,2384,2388,120,4,0
4599,AITraining,RegionD,RegionD,2385,2385,2388,34,3,0
5277,AITraining,RegionE,RegionE,2385,2385,2387,64,2,0
18325,AITraining,RegionF,RegionF,2385,2385,2389,58,4,0
22705,AITraining,RegionE,RegionE,2385,2385,2388,80,3,0
23514,AITraining,RegionF,RegionF,2385,2385,2389,76,4,0
26590,AITraining,RegionF,RegionF,2385,2385,2390,27,5,0
28123,AITraining,RegionD,RegionD,2385,2385,2389,30,4,0
28388,AITraining,RegionF,RegionF,2385,2385,2390,85,5,0
35571,AITraining,RegionF,RegionF,2385,2385,2388,111,3,0
43153,AITraining,RegionF,RegionF,2385,2385,2387,36,2,0
2055,AITraining,RegionD,RegionD,2386,2386,2389,116,3,0
10275,AITraining,RegionE,RegionE,2386,2386,2389,38,3,0
15694,AITraining,RegionE,RegionE,2386,2386,2389,63,3,0
22852,AITraining,RegionF,RegionF,2386,2386,2392,62,6,0
22937,AITraining,RegionF,RegionF,2386,2386,2389,52,3,0
46192,AITraining,RegionB,RegionB,2386,2386,2390,113,4,0
9535,AITraining,RegionE,RegionE,2387,2387,2393,58,6,0
17181,AITraining,RegionD,RegionD,2387,2387,2389,82,2,0
19584,AITraining,RegionE,RegionE,2387,2387,2393,43,6,0
27713,AITraining,RegionF,RegionF,2387,2387,2389,87,2,0
30583,AITraining,RegionE,RegionE,2387,2387,2391,121,4,0
31709,AITraining,RegionD,RegionD,2387,2387,2390,44,3,0
32656,AITraining,RegionE,RegionE,2387,2387,2393,76,6,0
36369,AITraining,RegionE,RegionE,2387,2387,2389,70,2,0
36680,AITraining,RegionF,RegionF,2387,2387,2393,118,6,0
38944,AITraining,RegionC,RegionC,2387,2387,2391,91,4,0
41737,AITraining,RegionF,RegionF,2387,2387,2394,21,7,0
1264,AITraining,RegionF,RegionF,2388,2388,2393,113,5,0
17991,AITraining,RegionF,RegionF,2388,2388,2391,26,3,0
21356,AITraining,RegionF,RegionE,2388,2388,2394,125,6,1
21837,AITraining,RegionD,RegionD,2388,2388,2393,59,5,0
27293,AITraining,RegionF,RegionF,2388,2388,2394,50,6,0
35545,AITraining,RegionF,RegionE,2388,2388,2390,31,2,1
43266,AITraining,RegionA,RegionA,2388,2388,2389,103,1,0
5727,AITraining,RegionD,RegionD,2389,2389,2392,82,3,0
13747,AITraining,RegionF,RegionF,2389,2389,2396,41,7,0
14749,AITraining,RegionE,RegionE,2389,2389,2393,97,4,0
23936,AITraining,RegionD,RegionD,2389,2389,2393,127,4,0
33779,AITraining,RegionE,RegionE,2389,2389,2395,31,6,0
34647,AITraining,RegionB,RegionB,2389,2389,2392,59,3,0
47013,AITraining,RegionD,RegionD,2389,2389,2390,67,1,0
2167,AITraining,RegionD,RegionD,2390,2390,2395,57,5,0
3782,AITraining,RegionE,RegionE,2390,2390,2396,89,6,0
8760,AITraining,RegionE,RegionE,2390,2390,2395,44,5,0
15675,AITraining,RegionF,RegionF,2390,2390,2393,87,3,0
16513,AITraining,RegionE,RegionE,2390,2390,2396,107,6,0
17233,AITraining,RegionD,RegionD,2390,2390,2394,122,4,0
25795,AITraining,RegionE,RegionE,2390,2390,2392,46,2,0
26136,AITraining,RegionE,RegionE,2390,2390,2391,120,1,0
29364,AITraining,RegionE,RegionF,2390,2390,2392,111,2,1
46424,AITraining,RegionD,RegionD,2390,2390,2397,120,7,0
4930,AITraining,RegionE,RegionE,2391,2391,2397,50,6,0
6876,AITraining,RegionD,RegionD,2391,2391,2398,52,7,0
12397,AITraining,RegionA,RegionA,2391,2391,2392,101,1,0
13836,AITraining,RegionD,RegionD,2391,2391,2398,40,7,0
17898,AITraining,RegionE,RegionE,2391,2391,2394,78,3,0
25763,AITraining,RegionE,RegionE,2391,2391,2396,114,5,0
27637,AITraining,RegionD,RegionD,2391,2391,2392,50,1,0
30452,AITraining,RegionE,RegionF,2391,2391,2395,55,4,1
31011,AITraining,RegionF,RegionF,2391,2391,2394,58,3,0
38937,AITraining,RegionB,RegionB,2391,2391,2397,31,6,0
41410,AITraining,RegionB,RegionB,2391,2391,2398,23,7,0
1371,AITraining,RegionC,RegionC,2392,2392,2398,18,6,0
2517,AITraining,RegionF,RegionF,2392,2392,2395,30,3,0
8915,AITraining,RegionD,RegionD,2392,2392,2393,97,1,0
17673,AITraining,RegionD,RegionD,2392,2392,2399,124,7,0
19387,AITraining,RegionE,RegionF,2392,2392,2396,104,4,1
38208,AITraining,RegionF,RegionF,2392,2392,2394,122,2,0
47090,AITraining,RegionF,RegionF,2392,2392,2398,98,6,0
16699,AITraining,RegionF,RegionF,2393,2393,2395,127,2,0
28664,AITraining,RegionF,RegionF,2393,2393,2400,96,7,0
41990,AITraining,RegionD,RegionD,2393,2393,2394,22,1,0
56,AITraining,RegionE,RegionE,2394,2394,2398,19,4,0
6438,AITraining,RegionE,RegionE,2394,2394,2399,98,5,0
13376,AITraining,RegionD,RegionD,2394,2394,2397,53,3,0
14619,AITraining,RegionF,RegionF,2394,2394,2401,117,7,0
15921,AITraining,RegionD,RegionD,2394,2394,2398,127,4,0
21451,AITraining,RegionD,RegionD,2394,2394,2399,34,5,0
31076,AITraining,RegionE,RegionE,2394,2394,2401,67,7,0
36863,AITraining,RegionF,RegionF,2394,2394,2395,101,1,0
39669,AITraining,RegionE,RegionE,2394,2394,2399,77,5,0
41146,AITraining,RegionF,RegionF,2394,2394,2396,57,2,0
42018,AITraining,RegionF,RegionF,2394,2394,2398,64,4,0
5435,AITraining,RegionE,RegionE,2395,2395,2398,116,3,0
6767,AITraining,RegionF,RegionF,2395,2395,2396,29,1,0
7372,AITraining,RegionF,RegionF,2395,2395,2400,104,5,0
22576,AITraining,RegionF,RegionF,2395,2395,2399,16,4,0
24073,AITraining,RegionB,RegionB,2395,2395,2397,110,2,0
32241,AITraining,RegionD,RegionD,2395,2395,2396,112,1,0
39773,AITraining,RegionE,RegionE,2395,2395,2396,33,1,0
46011,AITraining,RegionE,RegionE,2395,2395,2397,66,2,0
49640,AITraining,RegionE,RegionE,2395,2395,2400,54,5,0
14578,AITraining,RegionE,RegionE,2396,2396,2403,31,7,0
14844,AITraining,RegionB,RegionB,2396,2396,2401,51,5,0
14868,AITraining,RegionF,RegionF,2396,2396,2403,22,7,0
27964,AITraining,RegionD,RegionD,2396,2396,2403,25,7,0
28753,AITraining,RegionE,RegionE,2396,2396,2398,74,2,0
36157,AITraining,RegionD,RegionD,2396,2396,2397,86,1,0
37857,AITraining,RegionD,RegionD,2396,2396,2398,42,2,0
38786,AITraining,RegionA,RegionA,2396,2396,2403,95,7,0
46184,AITraining,RegionF,RegionF,2396,2396,2403,99,7,0
48837,AITraining,RegionD,RegionD,2396,2396,2400,23,4,0
15916,AITraining,RegionE,RegionE,2397,2397,2401,81,4,0
21730,AITraining,RegionF,RegionF,2397,2397,2402,49,5,0
38408,AITraining,RegionD,RegionD,2397,2397,2400,37,3,0
47435,AITraining,RegionE,RegionE,2397,2397,2404,28,7,0
49550,AITraining,RegionA,RegionA,2397,2397,2399,120,2,0
49575,AITraining,RegionF,RegionF,2397,2397,2401,27,4,0
49609,AITraining,RegionA,RegionA,2397,2397,2399,38,2,0
2473,AITraining,RegionC,RegionC,2398,2398,2404,16,6,0
4353,AITraining,RegionE,RegionE,2398,2398,2402,21,4,0
9572,AITraining,RegionD,RegionD,2398,2398,2405,123,7,0
19289,AITraining,RegionE,RegionE,2398,2398,2405,121,7,0
23421,AITraining,RegionE,RegionE,2398,2398,2403,19,5,0
30449,AITraining,RegionB,RegionB,2398,2398,2399,44,1,0
33770,AITraining,RegionD,RegionD,2398,2398,2401,88,3,0
37758,AITraining,RegionD,RegionD,2398,2398,2403,25,5,0
43423,AITraining,RegionF,RegionF,2398,2398,2404,122,6,0
46823,AITraining,RegionD,RegionD,2398,2398,2401,109,3,0
48528,AITraining,RegionD,RegionD,2398,2398,2400,36,2,0
1455,AITraining,RegionF,RegionF,2399,2399,2402,37,3,0
7857,AITraining,RegionF,RegionF,2399,2399,2401,115,2,0
38894,AITraining,RegionE,RegionE,2399,2399,2406,115,7,0
42578,AITraining,RegionC,RegionC,2399,2399,2403,37,4,0
48579,AITraining,RegionF,RegionF,2399,2399,2402,119,3,0
7403,BatchInference,RegionD,RegionD,2376,2376,2383,10,7,0
7902,BatchInference,RegionE,RegionE,2376,2376,2377,11,1,0
9267,BatchInference,RegionE,RegionE,2376,2376,2377,7,1,0
14647,BatchInference,RegionA,RegionA,2376,2376,2378,11,2,0
18201,BatchInference,RegionE,RegionE,2376,2376,2377,16,1,0
26377,BatchInference,RegionB,RegionB,2376,2376,2383,17,7,0
29779,BatchInference,RegionF,RegionF,2376,2376,2382,17,6,0
33422,BatchInference,RegionB,RegionB,2376,2376,2383,9,7,0
22926,BatchInference,RegionA,RegionA,2377,2377,2381,19,4,0
25757,BatchInference,RegionE,RegionE,2377,2377,2383,17,6,0
26783,BatchInference,RegionA,RegionA,2377,2377,2380,16,3,0
29785,BatchInference,RegionE,RegionE,2377,2377,2383,17,6,0
35013,BatchInference,RegionE,RegionE,2377,2377,2383,9,6,0
36594,BatchInference,RegionE,RegionE,2377,2377,2379,12,2,0
39791,BatchInference,RegionB,RegionB,2377,2377,2382,4,5,0
18427,BatchInference,RegionB,RegionB,2378,2378,2383,18,5,0
19684,BatchInference,RegionF,RegionF,2378,2378,2381,9,3,0
27016,BatchInference,RegionD,RegionD,2378,2378,2380,23,2,0
33839,BatchInference,RegionE,RegionE,2378,2378,2379,21,1,0
37236,BatchInference,RegionE,RegionE,2378,2378,2383,21,5,0
45584,BatchInference,RegionC,RegionC,2378,2378,2381,21,3,0
2763,BatchInference,RegionB,RegionB,2379,2379,2383,15,4,0
10622,BatchInference,RegionC,RegionC,2379,2379,2385,23,6,0
11216,BatchInference,RegionA,RegionA,2379,2379,2385,20,6,0
14405,BatchInference,RegionA,RegionA,2379,2379,2382,18,3,0
31331,BatchInference,RegionC,RegionC,2379,2379,2381,5,2,0
33741,BatchInference,RegionF,RegionF,2379,2379,2384,9,5,0
37078,BatchInference,RegionD,RegionD,2379,2379,2384,14,5,0
11383,BatchInference,RegionC,RegionC,2380,2380,2382,22,2,0
17466,BatchInference,RegionE,RegionE,2380,2380,2384,20,4,0
24774,BatchInference,RegionF,RegionE,2380,2380,2382,16,2,1
43668,BatchInference,RegionB,RegionB,2380,2380,2383,19,3,0
47613,BatchInference,RegionD,RegionD,2380,2380,2386,22,6,0
18905,BatchInference,RegionA,RegionA,2381,2381,2386,12,5,0
22462,BatchInference,RegionC,RegionC,2381,2381,2384,23,3,0
22871,BatchInference,RegionE,RegionE,2381,2381,2385,7,4,0
28161,BatchInference,RegionB,RegionB,2381,2381,2386,4,5,0
34989,BatchInference,RegionA,RegionA,2381,2381,2385,13,4,0
35450,BatchInference,RegionC,RegionC,2381,2381,2384,14,3,0
35507,BatchInference,RegionA,RegionA,2381,2381,2383,18,2,0
403,BatchInference,RegionD,RegionD,2382,2382,2385,13,3,0
11993,BatchInference,RegionC,RegionC,2382,2382,2386,15,4,0
14772,BatchInference,RegionA,RegionA,2382,2382,2388,12,6,0
16116,BatchInference,RegionA,RegionA,2382,2382,2388,7,6,0
19440,BatchInference,RegionE,RegionE,2382,2382,2385,23,3,0
36934,BatchInference,RegionD,RegionD,2382,2382,2385,6,3,0
39924,BatchInference,RegionC,RegionC,2382,2382,2385,4,3,0
49336,BatchInference,RegionB,RegionB,2382,2382,2388,8,6,0
1664,BatchInference,RegionE,RegionE,2383,2383,2386,14,3,0
4060,BatchInference,RegionA,RegionA,2383,2383,2386,8,3,0
12791,BatchInference,RegionA,RegionA,2383,2383,2384,4,1,0
24641,BatchInference,RegionD,RegionD,2383,2383,2385,12,2,0
34149,BatchInference,RegionA,RegionA,2383,2383,2385,13,2,0
37312,BatchInference,RegionB,RegionB,2383,2383,2390,17,7,0
37918,BatchInference,RegionD,RegionD,2383,2383,2386,5,3,0
40802,BatchInference,RegionB,RegionB,2383,2383,2388,16,5,0
29402,BatchInference,RegionC,RegionC,2384,2384,2388,17,4,0
33478,BatchInference,RegionE,RegionE,2384,2384,2387,6,3,0
37688,BatchInference,RegionD,RegionD,2384,2384,2388,6,4,0
205,BatchInference,RegionB,RegionB,2385,2385,2390,6,5,0
1234,BatchInference,RegionB,RegionB,2385,2385,2391,9,6,0
31955,BatchInference,RegionD,RegionD,2385,2385,2388,16,3,0
34369,BatchInference,RegionD,RegionD,2385,2385,2390,18,5,0
41891,BatchInference,RegionC,RegionC,2385,2385,2388,15,3,0
45742,BatchInference,RegionC,RegionC,2385,2385,2392,20,7,0
46875,BatchInference,RegionB,RegionB,2385,2385,2392,18,7,0
11834,BatchInference,RegionB,RegionB,2386,2386,2392,19,6,0
14622,BatchInference,RegionB,RegionB,2386,2386,2390,23,4,0
18869,BatchInference,RegionD,RegionD,2386,2386,2391,7,5,0
20632,BatchInference,RegionC,RegionC,2386,2386,2390,14,4,0
23667,BatchInference,RegionA,RegionA,2386,2386,2392,15,6,0
24949,BatchInference,RegionD,RegionD,2386,2386,2388,16,2,0
26788,BatchInference,RegionF,RegionF,2386,2386,2392,12,6,0
33605,BatchInference,RegionB,RegionB,2386,2386,2388,9,2,0
33785,BatchInference,RegionD,RegionD,2386,2386,2388,20,2,0
39597,BatchInference,RegionD,RegionD,2386,2386,2392,17,6,0
43953,BatchInference,RegionE,RegionE,2386,2386,2389,17,3,0
2374,BatchInference,RegionA,RegionA,2387,2387,2388,7,1,0
3113,BatchInference,RegionD,RegionD,2387,2387,2394,15,7,0
9850,BatchInference,RegionE,RegionE,2387,2387,2393,13,6,0
28165,BatchInference,RegionE,RegionE,2387,2387,2388,13,1,0
29306,BatchInference,RegionE,RegionE,2387,2387,2388,20,1,0
31953,BatchInference,RegionB,RegionB,2387,2387,2393,19,6,0
33356,BatchInference,RegionB,RegionB,2387,2387,2391,14,4,0
33589,BatchInference,RegionE,RegionE,2387,2387,2392,22,5,0
40446,BatchInference,RegionA,RegionA,2387,2387,2388,9,1,0
583,BatchInference,RegionA,RegionA,2388,2388,2392,12,4,0
6323,BatchInference,RegionA,RegionA,2388,2388,2391,5,3,0
16274,BatchInference,RegionA,RegionA,2388,2388,2395,21,7,0
18061,BatchInference,RegionC,RegionC,2388,2388,2394,9,6,0
20403,BatchInference,RegionD,RegionD,2388,2388,2392,14,4,0
32420,BatchInference,RegionD,RegionD,2388,2388,2394,19,6,0
36729,BatchInference,RegionC,RegionC,2388,2388,2395,9,7,0
40539,BatchInference,RegionB,RegionB,2388,2388,2391,10,3,0
42007,BatchInference,RegionA,RegionA,2388,2388,2391,21,3,0
42663,BatchInference,RegionA,RegionA,2388,2388,2395,7,7,0
43463,BatchInference,RegionA,RegionA,2388,2388,2390,10,2,0
45156,BatchInference,RegionA,RegionA,2388,2388,2394,9,6,0
16109,BatchInference,RegionF,RegionF,2389,2389,2392,7,3,0
17044,BatchInference,RegionC,RegionC,2389,2389,2390,6,1,0
36902,BatchInference,RegionE,RegionF,2389,2389,2395,22,6,1
39318,BatchInference,RegionA,RegionA,2389,2389,2392,21,3,0
45583,BatchInference,RegionB,RegionB,2389,2389,2395,13,6,0
57,BatchInference,RegionE,RegionE,2390,2390,2393,16,3,0
165,BatchInference,RegionB,RegionB,2390,2390,2392,18,2,0
1136,BatchInference,RegionB,RegionB,2390,2390,2394,12,4,0
4851,BatchInference,RegionD,RegionD,2390,2390,2394,8,4,0
10184,BatchInference,RegionD,RegionD,2390,2390,2393,15,3,0
19682,BatchInference,RegionD,RegionD,2390,2390,2396,11,6,0
24572,BatchInference,RegionA,RegionA,2390,2390,2396,9,6,0
30199,BatchInference,RegionF,RegionF,2390,2390,2397,15,7,0
39397,BatchInference,RegionA,RegionA,2390,2390,2397,7,7,0
47967,BatchInference,RegionD,RegionD,2390,2390,2394,20,4,0
4113,BatchInference,RegionA,RegionA,2391,2391,2396,15,5,0
18367,BatchInference,RegionA,RegionA,2391,2391,2397,19,6,0
18847,BatchInference,RegionB,RegionB,2391,2391,2396,8,5,0
31688,BatchInference,RegionF,RegionF,2391,2391,2393,21,2,0
33573,BatchInference,RegionB,RegionB,2391,2391,2393,21,2,0
45731,BatchInference,RegionE,RegionD,2391,2391,2396,14,5,1
315,BatchInference,RegionA,RegionA,2392,2392,2394,17,2,0
3566,BatchInference,RegionE,RegionE,2392,2392,2393,9,1,0
18826,BatchInference,RegionA,RegionA,2392,2392,2397,17,5,0
25631,BatchInference,RegionD,RegionD,2392,2392,2397,18,5,0
27301,BatchInference,RegionA,RegionA,2392,2392,2396,5,4,0
28488,BatchInference,RegionA,RegionA,2392,2392,2393,14,1,0
28923,BatchInference,RegionC,RegionC,2392,2392,2394,14,2,0
37668,BatchInference,RegionD,RegionD,2392,2392,2397,11,5,0
47787,BatchInference,RegionB,RegionB,2392,2392,2396,8,4,0
4611,BatchInference,RegionA,RegionA,2393,2393,2396,15,3,0
12184,BatchInference,RegionD,RegionD,2393,2393,2394,5,1,0
16345,BatchInference,RegionF,RegionF,2393,2393,2397,9,4,0
24477,BatchInference,RegionD,RegionD,2393,2393,2395,16,2,0
43531,BatchInference,RegionC,RegionC,2393,2393,2396,18,3,0
48651,BatchInference,RegionF,RegionF,2393,2393,2395,14,2,0
4848,BatchInference,RegionB,RegionB,2394,2394,2398,17,4,0
6508,BatchInference,RegionB,RegionB,2394,2394,2399,23,5,0
11351,BatchInference,RegionD,RegionD,2394,2394,2399,16,5,0
14327,BatchInference,RegionB,RegionB,2394,2394,2400,21,6,0
23381,BatchInference,RegionD,RegionD,2394,2394,2398,15,4,0
37834,BatchInference,RegionF,RegionE,2394,2394,2401,17,7,1
39468,BatchInference,RegionA,RegionA,2394,2394,2396,16,2,0
40831,BatchInference,RegionE,RegionE,2394,2394,2400,17,6,0
45887,BatchInference,RegionD,RegionD,2394,2394,2400,10,6,0
8294,BatchInference,RegionC,RegionC,2395,2395,2397,8,2,0
16494,BatchInference,RegionD,RegionD,2395,2395,2398,22,3,0
42958,BatchInference,RegionA,RegionA,2395,2395,2402,19,7,0
45986,BatchInference,RegionD,RegionD,2395,2395,2400,20,5,0
3736,BatchInference,RegionD,RegionD,2396,2396,2403,19,7,0
7874,BatchInference,RegionC,RegionC,2396,2396,2397,21,1,0
10284,BatchInference,RegionF,RegionF,2396,2396,2399,14,3,0
10504,BatchInference,RegionC,RegionC,2396,2396,2398,4,2,0
12431,BatchInference,RegionB,RegionB,2396,2396,2400,17,4,0
20312,BatchInference,RegionD,RegionD,2396,2396,2401,16,5,0
24995,BatchInference,RegionD,RegionD,2396,2396,2398,10,2,0
30715,BatchInference,RegionD,RegionD,2396,2396,2402,14,6,0
40505,BatchInference,RegionA,RegionA,2396,2396,2403,6,7,0
43993,BatchInference,RegionE,RegionE,2396,2396,2400,16,4,0
701,BatchInference,RegionF,RegionF,2397,2397,2399,21,2,0
2648,BatchInference,RegionE,RegionE,2397,2397,2401,19,4,0
3928,BatchInference,RegionF,RegionF,2397,2397,2401,4,4,0
6392,BatchInference,RegionD,RegionD,2397,2397,2402,5,5,0
20799,BatchInference,RegionF,RegionF,2397,2397,2401,14,4,0
24255,BatchInference,RegionE,RegionE,2397,2397,2400,20,3,0
27547,BatchInference,RegionD,RegionD,2397,2397,2398,17,1,0
29787,BatchInference,RegionA,RegionA,2397,2397,2402,7,5,0
34117,BatchInference,RegionB,RegionB,2397,2397,2398,19,1,0
37081,BatchInference,RegionA,RegionA,2397,2397,2402,17,5,0
39629,BatchInference,RegionD,RegionD,2397,2397,2398,5,1,0
46028,BatchInference,RegionA,RegionA,2397,2397,2399,22,2,0
46818,BatchInference,RegionC,RegionC,2397,2397,2400,16,3,0
4418,BatchInference,RegionD,RegionD,2398,2398,2403,11,5,0
8745,BatchInference,RegionB,RegionB,2398,2398,2401,21,3,0
11780,BatchInference,RegionF,RegionF,2398,2398,2399,21,1,0
17421,BatchInference,RegionF,RegionF,2398,2398,2401,15,3,0
17938,BatchInference,RegionE,RegionE,2398,2398,2403,23,5,0
22136,BatchInference,RegionE,RegionE,2398,2398,2400,7,2,0
15242,BatchInference,RegionE,RegionE,2399,2399,2404,7,5,0
37062,BatchInference,RegionB,RegionB,2399,2399,2402,12,3,0
38165,BatchInference,RegionB,RegionB,2399,2399,2404,10,5,0
40966,BatchInference,RegionB,RegionB,2399,2399,2405,20,6,0
43786,BatchInference,RegionB,RegionB,2399,2399,2402,17,3,0
44439,BatchInference,RegionE,RegionE,2399,2399,2405,6,6,0
46942,BatchInference,RegionC,RegionC,2399,2399,2405,11,6,0
49525,BatchInference,RegionB,RegionB,2399,2399,2403,16,4,0
3498,RealTimeInference,RegionB,RegionB,2376,2376,2378,2,2,0
17820,RealTimeInference,RegionC,RegionC,2376,2376,2378,1,2,0
31600,RealTimeInference,RegionB,RegionB,2376,2376,2382,3,6,0
33742,RealTimeInference,RegionA,RegionA,2376,2376,2379,3,3,0
41926,RealTimeInference,RegionC,RegionC,2376,2376,2380,6,4,0
49940,RealTimeInference,RegionB,RegionB,2376,2376,2378,6,2,0
4316,RealTimeInference,RegionA,RegionA,2377,2377,2382,5,5,0
6423,RealTimeInference,RegionA,RegionA,2377,2377,2382,7,5,0
6481,RealTimeInference,RegionA,RegionA,2377,2377,2384,6,7,0
20965,RealTimeInference,RegionA,RegionA,2377,2377,2380,2,3,0
22636,RealTimeInference,RegionF,RegionE,2377,2377,2382,2,5,1
29589,RealTimeInference,RegionE,RegionE,2377,2377,2379,5,2,0
44279,RealTimeInference,RegionB,RegionB,2377,2377,2380,1,3,0
45743,RealTimeInference,RegionB,RegionB,2377,2377,2384,2,7,0
47993,RealTimeInference,RegionC,RegionC,2377,2377,2379,4,2,0
49049,RealTimeInference,RegionB,RegionB,2377,2377,2379,3,2,0
235,RealTimeInference,RegionE,RegionE,2378,2378,2379,2,1,0
2508,RealTimeInference,RegionB,RegionB,2378,2378,2383,1,5,0
3444,RealTimeInference,RegionA,RegionA,2378,2378,2380,7,2,0
24568,RealTimeInference,RegionB,RegionB,2378,2378,2381,4,3,0
25839,RealTimeInference,RegionA,RegionA,2378,2378,2384,1,6,0
23424,RealTimeInference,RegionA,RegionA,2379,2379,2386,5,7,0
30238,RealTimeInference,RegionD,RegionD,2379,2379,2384,6,5,0
30708,RealTimeInference,RegionB,RegionB,2379,2379,2386,1,7,0
24714,RealTimeInference,RegionC,RegionC,2380,2380,2386,5,6,0
28667,RealTimeInference,RegionB,RegionB,2380,2380,2382,6,2,0
29758,RealTimeInference,RegionC,RegionC,2380,2380,2387,7,7,0
46876,RealTimeInference,RegionB,RegionB,2380,2380,2383,3,3,0
9585,RealTimeInference,RegionB,RegionB,2381,2381,2384,7,3,0
35202,RealTimeInference,RegionC,RegionC,2381,2381,2384,5,3,0
39748,RealTimeInference,RegionC,RegionC,2381,2381,2385,1,4,0
41513,RealTimeInference,RegionC,RegionC,2381,2381,2384,6,3,0
43240,RealTimeInference,RegionA,RegionA,2381,2381,2388,7,7,0
3948,RealTimeInference,RegionF,RegionF,2382,2382,2388,1,6,0
