Hour,Region,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2
2383,RegionD,592.704,1012.13,226.5525,0.0,180.0,605.5775,366.1515,186.1515,98255.57885999998,157.99437225
2383,RegionE,574.6875,1012.13,342.8513,0.0,220.0,449.2787,231.8362,11.8362,23168.957605999996,52.3949812
2383,RegionF,601.2561,1012.13,346.0404,0.0,220.0,446.0896,255.2157,35.2157,33853.532616,68.16811347
2384,RegionA,544.32,1059.81,65.3184,0.0,0.0,994.4916,479.0016,479.0016,349192.1664,299.1364992
2384,RegionB,531.36,1059.81,79.704,0.0,0.0,980.106,451.656,451.656,315535.91472,263.85743520000005
2384,RegionC,536.544,1059.81,96.5779,0.0,0.0,963.2321,439.9661,439.9661,298459.803257,243.7412194
2384,RegionD,583.4496,1059.81,227.5453,0.0,180.0,652.2647,355.9043,175.9043,93823.85509099999,150.5475189
2384,RegionE,614.0625,1059.81,393.0,0.0,220.0,446.81,221.0625,1.0625,19029.596875000003,48.987449999999995
2384,RegionF,572.0461,1059.81,320.3458,0.0,220.0,519.4642,251.7003,31.7003,32440.621499999994,65.92030857
2385,RegionA,544.32,1089.78,69.5448,0.0,0.0,1020.2352,474.7752,474.7752,346206.07584,290.94224256
2385,RegionB,531.36,1089.78,83.8298,0.0,0.0,1005.9502,447.5302,447.5302,312743.054364,256.52431064
2385,RegionC,536.544,1089.78,100.744,0.0,0.0,989.036,435.8,435.8,295720.80600000004,236.90088
2385,RegionD,546.0864,1089.78,217.2138,0.0,180.0,692.5662,328.8726,148.8726,82079.81729999998,136.51501626
2385,RegionE,530.7375,1089.78,359.4575,0.0,220.0,510.3225,171.28,-48.72,-122.97920000000158,37.236272
2385,RegionF,544.7792,1089.78,296.6164,0.0,220.0,573.1636,248.1628,28.1628,31015.431908,63.7778396
2386,RegionA,544.32,1100.0,73.4832,0.0,0.0,1026.5168,470.8368,470.8368,343428.36192,283.77333936
2386,RegionB,531.36,1100.0,87.6744,0.0,0.0,1012.3256,443.6856,443.6856,310140.671256,250.14994128
2386,RegionC,536.544,1100.0,104.6261,0.0,0.0,995.3739,431.9179,431.9179,293159.955446,230.94650112999997
2386,RegionD,511.2704,1100.0,207.0645,0.0,180.0,712.9355,304.2059,124.2059,71354.73209900002,124.20726896999999
2386,RegionE,534.225,1100.0,377.1012,0.0,220.0,502.8988,157.1238,-62.8762,-5573.021952000003,33.60878082
2386,RegionF,519.9126,1100.0,275.5537,0.0,220.0,604.4463,244.3589,24.3589,29483.713458000013,61.749494029999994
2387,RegionA,506.412,1089.78,71.5121,0.0,0.0,1018.2679,434.8999,434.8999,317289.920043,258.7654405
2387,RegionB,531.36,1089.78,90.9758,0.0,0.0,998.8042,440.3842,440.3842,307907.82495599997,245.11784572
2387,RegionC,536.544,1089.78,107.9597,0.0,0.0,981.8203,428.5843,428.5843,290970.167113,226.20679354
2387,RegionD,449.856,1089.78,184.9867,0.0,180.0,724.7933,264.8693,84.8693,54234.05139600001,106.76881483000001
2387,RegionE,446.3125,1089.78,323.0707,0.0,220.0,546.7093,123.2418,-96.7582,-18620.54490999999,26.016343980000002
2387,RegionF,510.4892,1089.78,264.2157,0.0,220.0,605.5643,246.2735,26.2735,30266.575020000004,61.44523825
2388,RegionA,500.9715,1059.81,73.1322,0.0,0.0,986.6778,427.8393,427.8393,312211.45078199997,252.51075485999996
2388,RegionB,463.9005,1059.81,81.6376,0.0,0.0,978.1724,382.2629,382.2629,267327.913857,211.04734709000002
2388,RegionC,451.122,1059.81,92.9225,0.0,0.0,966.8875,358.1995,358.1995,243238.95247,187.5532582
2388,RegionD,437.8368,1059.81,182.1317,0.0,180.0,697.6783,255.7051,75.7051,50252.196681999994,102.23089897999999
2388,RegionE,453.9375,1059.81,331.3744,0.0,220.0,508.4356,122.5631,-97.4369,-18886.24766600001,25.66471314
2388,RegionF,435.991,1059.81,221.5002,0.0,220.0,618.3098,214.4908,-5.5092,17388.315228000007,53.086473
2389,RegionA,444.042,1012.13,66.1524,0.0,0.0,945.9776,377.8896,377.8896,275817.84014399996,222.46360751999998
2389,RegionB,460.7564,1012.13,82.4652,0.0,0.0,929.6648,378.2912,378.2912,264603.345664,208.32496383999998
2389,RegionC,475.3024,1012.13,99.3276,0.0,0.0,912.8024,375.9748,375.9748,255362.08416000003,196.33404056
2389,RegionD,427.1885,1012.13,178.9825,0.0,180.0,653.1475,248.206,68.206,46992.995399999985,98.98455279999999
2389,RegionE,423.6525,1012.13,306.6679,0.0,220.0,485.4621,116.9846,-103.0154,-21038.592388000005,24.43808294
2389,RegionF,454.4441,1012.13,228.1511,0.0,220.0,563.9789,226.293,6.293,22177.948570000008,55.8717417
2390,RegionA,427.977,950.0,64.1965,0.0,0.0,885.8034,363.7804,363.7804,265566.967608,214.8123262
2390,RegionB,412.155,950.0,74.1879,0.0,0.0,875.8121,337.9671,337.9671,236441.78316000002,186.69302604
2390,RegionC,420.3204,950.0,88.2673,0.0,0.0,861.7327,332.0531,332.0531,225570.311892,173.92941378
2390,RegionD,414.0826,950.0,173.9147,0.0,180.0,596.0853,240.1679,60.1679,43497.60104200001,96.06716
2390,RegionE,394.9662,950.0,278.8005,0.0,220.0,451.1995,116.1657,-103.8343,-21359.11744699999,24.33671415
2390,RegionF,394.7198,950.0,197.3599,0.0,220.0,532.6401,197.3599,-22.6401,10448.45464300002,48.86631124
2391,RegionA,384.3058,877.65,57.253,0.0,0.0,820.397,327.0528,327.0528,238794.331392,194.7599424
2391,RegionB,392.9688,877.65,70.3327,0.0,0.0,807.3173,322.6361,322.6361,225754.93189200002,179.74057131
2391,RegionC,402.4273,877.65,84.0984,0.0,0.0,793.5516,318.3289,318.3289,216282.20452699997,168.17315786999998
2391,RegionD,352.8691,877.65,147.8443,0.0,180.0,549.8057,205.0248,25.0248,28179.46404,82.70700432
2391,RegionE,363.14,877.65,245.9472,0.0,220.0,411.7028,117.1928,-102.8072,-20965.15451999999,24.76283864
2391,RegionF,363.7953,877.65,182.6414,0.0,220.0,475.0086,181.1539,-38.8461,3875.65645699999,45.234128829999996
2392,RegionA,352.9508,800.0,51.524,0.0,0.0,748.476,301.4268,301.4268,220113.90643200002,181.91107380000003
2392,RegionB,352.9224,800.0,62.1076,0.0,0.0,737.8924,290.8148,290.8148,203518.013336,164.1649546
2392,RegionC,357.0474,800.0,73.5449,0.0,0.0,726.4551,283.5025,283.5025,192648.453825,151.75888824999998
2392,RegionD,334.272,800.0,139.0507,0.0,180.0,480.9493,195.2213,15.2213,23909.313356,79.80646744
2392,RegionE,343.325,800.0,219.728,0.0,220.0,360.272,123.597,-96.403,-18500.880229999995,26.4621177
2392,RegionF,312.2295,800.0,158.6246,0.0,220.0,421.3754,153.6049,-66.3951,-7300.828119000005,38.877400189999996
2393,RegionA,298.296,722.35,42.1233,0.0,0.0,680.2267,211.1727,211.1727,223627.665846,129.61780326
2393,RegionB,270.648,722.35,46.3385,0.0,0.0,676.0115,183.8095,183.8095,186540.90917000003,105.54341490000002
2393,RegionC,286.833,722.35,57.7146,0.0,0.0,664.6354,190.8684,190.8684,188089.35609600003,103.9278438
2393,RegionD,321.8432,722.35,132.3462,0.0,180.0,410.0038,7.497,-172.503,-84054.32235,3.1172526
2393,RegionE,287.375,722.35,171.4443,0.0,220.0,330.9057,0.0,-220.0,-95909.0,0.0
2393,RegionF,256.5908,722.35,132.8046,0.0,220.0,369.5454,0.0,-220.0,-100955.8,0.0
2394,RegionA,311.202,650.0,42.0123,0.0,0.0,607.9877,224.1897,224.1897,237437.06937299998,140.29791426
2394,RegionB,303.696,650.0,50.1098,0.0,0.0,599.8902,213.0862,213.0862,216273.969552,124.74066148
2394,RegionC,314.226,650.0,61.2741,0.0,0.0,588.7259,214.7019,214.7019,211597.310526,119.18102469
2394,RegionD,320.1792,650.0,129.6726,0.0,180.0,340.3274,8.5066,-171.4934,-83424.290434,3.6059477400000004
2394,RegionE,299.075,650.0,164.4912,0.0,220.0,265.5087,0.0,-220.0,-95917.8,0.0
2394,RegionF,337.0961,650.0,178.6609,0.0,220.0,251.3391,0.0,-220.0,-100966.8,0.0
2395,RegionA,316.0215,587.87,40.3764,0.0,0.0,547.4936,230.6451,230.6451,244292.37056700003,147.28996086
2395,RegionB,308.5155,587.87,48.6728,0.0,0.0,539.1972,219.3427,219.3427,222641.614208,131.03532898
2395,RegionC,324.8244,587.87,60.9905,0.0,0.0,526.8795,225.5839,225.5839,222340.003518,127.79327935
2395,RegionD,306.944,587.87,122.0914,0.0,180.0,285.7786,2.8526,-177.1474,-87007.559344,1.23403476
2395,RegionE,290.7375,587.87,159.9056,0.0,220.0,207.9644,0.0,-220.0,-95926.59999999999,0.0
2395,RegionF,333.8195,587.87,181.755,0.0,220.0,186.115,0.0,-220.0,-100975.6,0.0
2396,RegionA,328.1985,540.19,39.3838,0.0,0.0,500.8062,243.8147,243.8147,258255.844681,158.82089557999998
2396,RegionB,303.939,540.19,45.5909,0.0,0.0,494.5992,217.8482,217.8482,221137.70782,132.75669308000002
2396,RegionC,321.4986,540.19,57.8697,0.0,0.0,482.3203,225.3789,225.3789,222151.47415199998,130.22392842
2396,RegionD,326.3232,540.19,127.266,0.0,180.0,232.924,17.0572,-162.9428,-78027.01527999999,7.527342360000001
2396,RegionE,292.2125,540.19,160.7169,0.0,208.7102,170.7629,0.0,-208.7102,-91008.08271,0.0
2396,RegionF,294.132,540.19,164.7139,0.0,206.5118,168.9642,0.0,-206.5118,-94788.91619999999,0.0
2397,RegionA,347.3145,510.22,41.6777,0.0,0.0,468.5423,260.6368,260.6368,276084.743136,172.88038944
2397,RegionB,352.134,510.22,52.8201,0.0,0.0,457.3999,258.8139,258.8139,262732.34244599997,160.59402495
2397,RegionC,385.8066,510.22,69.4452,0.0,0.0,440.7748,278.1114,278.1114,274137.18809400004,163.64074776
2397,RegionD,327.36,510.22,125.1286,0.0,180.0,205.0914,176.9314,-3.0686,23111.142267999996,79.49527802
2397,RegionE,334.2375,510.22,183.8306,0.0,179.5142,146.8752,0.0,-179.5142,-78280.75719399999,0.0
2397,RegionF,339.2932,510.22,195.2731,0.0,173.2208,141.7261,0.0,-173.2208,-79511.81161599999,0.0
2398,RegionA,411.1425,500.0,49.3371,54.0795,0.0,396.5834,361.8054,361.8054,237883.43244600002,243.6759369
2398,RegionB,395.982,500.0,59.3973,49.5,0.0,391.1027,336.5847,336.5847,212082.01947,212.048361
2398,RegionC,405.2508,500.0,72.9451,46.75,0.0,380.3049,332.3057,332.3057,203314.596431,198.51942518
2398,RegionD,371.8656,500.0,139.4496,72.1101,158.6422,129.7981,232.416,73.7738,42673.85770400001,106.0281792
2398,RegionE,377.525,500.0,207.6388,58.4723,128.6389,105.25,169.8862,41.2473,24133.519198999995,40.6028018
2398,RegionF,367.919,500.0,217.0722,56.5856,124.4882,101.854,150.8468,26.3586,19631.87757399999,42.59913632
2399,RegionA,437.967,510.22,52.556,54.9197,0.0,402.7443,385.411,385.411,253403.87839,262.54197320000003
2399,RegionB,411.696,510.22,61.7544,49.5,0.0,398.9656,349.9416,349.9416,220498.20216000002,223.01778167999998
2399,RegionC,454.02,510.22,81.7236,46.75,0.0,381.7464,372.2964,372.2964,227782.10641200002,224.97871451999998
2399,RegionD,399.936,510.22,147.4911,72.5458,159.6007,130.5824,252.4449,92.8442,50245.03648700001,116.50332135000001
2399,RegionE,391.35,510.22,215.2425,58.9955,129.7901,106.1919,176.1075,46.3174,25980.777207999992,42.56518275
2399,RegionF,432.1429,510.22,260.3343,49.9771,109.9497,89.9589,171.8086,61.8589,31430.758294999996,49.085717020000004
2400,RegionA,525.339451,540.19,525.339451,0.0,0.0,14.850549,0.0,0.0,0.0,0.0
2400,RegionB,453.105001,540.19,453.105001,0.0,0.0,87.084999,0.0,0.0,0.0,0.0
2400,RegionC,481.61908,540.19,481.61908,0.0,0.0,58.57092,0.0,0.0,0.0,0.0
2400,RegionD,449.58208,540.19,449.58208,0.0,90.60792,0.0,0.0,-90.60792,-19753.432639199997,0.0
2400,RegionE,516.79625,540.19,516.79625,0.0,23.39375,0.0,0.0,-23.39375,-4507.039875,0.0
2400,RegionF,571.787867,540.19,540.19,0.0,0.0,0.0,31.597867,31.597867,8215.44542,8.8505625467
2401,RegionA,553.9419,587.87,553.9419,0.0,0.0,33.9281,0.0,0.0,0.0,0.0
2401,RegionB,522.4365,587.87,522.4365,0.0,0.0,65.4335,0.0,0.0,0.0,0.0
2401,RegionC,508.59624,587.87,508.59624,0.0,0.0,79.27376,0.0,0.0,0.0,0.0
2401,RegionD,430.41152,587.87,430.41152,0.0,157.45848,0.0,0.0,-157.45848,-34349.567412000004,0.0
2401,RegionE,548.312916,587.87,548.312916,0.0,39.557084,0.0,0.0,-39.557084,-7625.81465352,0.0
2401,RegionF,475.04858,587.87,475.04858,0.0,112.82142,0.0,0.0,-112.82142,-22894.850760600002,0.0
2402,RegionA,547.938,650.0,547.938,0.0,0.0,102.062,0.0,0.0,0.0,0.0
2402,RegionB,492.7176,650.0,492.7176,0.0,0.0,157.2824,0.0,0.0,0.0,0.0
2402,RegionC,506.26496,650.0,506.26496,0.0,0.0,143.73504,0.0,0.0,0.0,0.0
2402,RegionD,428.779948,650.0,428.779948,0.0,180.0,41.220052,0.0,-180.0,-39292.2,0.0
2402,RegionE,537.186666,650.0,537.186666,0.0,112.813334,0.0,0.0,-112.813334,-21762.82026194,0.0
2402,RegionF,443.19698,650.0,443.19698,0.0,206.80302,0.0,0.0,-206.80302,-41995.4892714,0.0
2403,RegionA,530.01675,722.35,530.01675,0.0,0.0,192.33325,0.0,0.0,0.0,0.0
2403,RegionB,494.4807,722.35,494.4807,0.0,0.0,227.8693,0.0,0.0,0.0,0.0
2403,RegionC,497.55624,722.35,497.55624,0.0,0.0,224.79376,0.0,0.0,0.0,0.0
2403,RegionD,423.263146,722.35,423.263146,0.0,180.0,119.086854,0.0,-180.0,-39319.2,0.0
2403,RegionE,538.85375,722.35,538.85375,0.0,183.49625,0.0,0.0,-183.49625,-35420.2811375,0.0
2403,RegionF,433.4383,722.35,433.4383,0.0,220.0,68.9117,0.0,-220.0,-44704.0,0.0
2404,RegionA,527.679,800.0,527.679,0.0,0.0,272.321,0.0,0.0,0.0,0.0
2404,RegionB,492.103801,800.0,492.103801,0.0,0.0,307.896199,0.0,0.0,0.0,0.0
2404,RegionC,491.6526,800.0,491.6526,0.0,0.0,308.3474,0.0,0.0,0.0,0.0
2404,RegionD,459.081814,800.0,459.081814,0.0,180.0,160.918186,0.0,-180.0,-39344.4,0.0
2404,RegionE,494.18875,800.0,494.18875,0.0,220.0,85.81125,0.0,-220.0,-42495.2,0.0
2404,RegionF,431.4825,800.0,431.4825,0.0,220.0,148.5175,0.0,-220.0,-44732.600000000006,0.0
2405,RegionA,527.0157,877.65,527.0157,0.0,0.0,350.6343,0.0,0.0,0.0,0.0
2405,RegionB,507.807,877.65,507.807,0.0,0.0,369.843,0.0,0.0,0.0,0.0
2405,RegionC,500.28772,877.65,500.28772,0.0,0.0,377.36228,0.0,0.0,0.0,0.0
2405,RegionD,460.494506,877.65,460.494506,0.0,180.0,237.155494,0.0,-180.0,-39369.6,0.0
2405,RegionE,507.0175,877.65,507.0175,0.0,220.0,150.6325,0.0,-220.0,-42521.6,0.0
2405,RegionF,476.152633,877.65,476.152633,0.0,220.0,181.497367,0.0,-220.0,-44761.200000000004,0.0
